Pin: U\n	{"Pref"={"Pin"="U"}}
Pin-Priority: 26\n\nPackage: *\n\nExplanation: \n\n# d\n\nPackage: yMNW\n\n# \n	{"Pref"={"Pin-Priority"="26"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="d"}}{"Pref"={"Package"="yMNW"}}{"Pref"={"#comment"=""}}
Explanation: FV\n\nPackage: r\n\nPin-Priority: 0209\n\nPin: \n\nPin: i\n\nPin-Priority: 47\n\nPin-Priority: 02\n\nExplanation: \n\nPin: r8\n	{"Pref"={"Explanation"="FV"}}{"Pref"={"Package"="r"}}{"Pref"={"Pin-Priority"="0209"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="i"}}{"Pref"={"Pin-Priority"="47"}}{"Pref"={"Pin-Priority"="02"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="r8"}}
Package: aqqw\n	{"Pref"={"Package"="aqqw"}}
Pin-Priority: 8\n\n# ij\n\n# G\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"#comment"="ij"}}{"Pref"={"#comment"="G"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Pin-Priority: 61\n	{"Pref"={"Pin-Priority"="61"}}
Pin: \n\nPin-Priority: 5210\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="5210"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 9\n\nPackage: Z'\n\nExplanation: \n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Package"="Z'"}}{"Pref"={"Explanation"=""}}
Explanation: g\n\nPackage: *\n	{"Pref"={"Explanation"="g"}}{"Pref"={"Package"="*"}}
Pin-Priority: 8\n\nPackage: \n\nPackage: \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"=""}}{"Pref"={"Package"=""}}
Explanation: e\n	{"Pref"={"Explanation"="e"}}
Explanation: \n\nExplanation: m\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="m"}}
Explanation: aN\n\n# D4\n	{"Pref"={"Explanation"="aN"}}{"Pref"={"#comment"="D4"}}
Pin-Priority: 207\n	{"Pref"={"Pin-Priority"="207"}}
Pin: 4T5y\n\nPin: jyyK\n	{"Pref"={"Pin"="4T5y"}}{"Pref"={"Pin"="jyyK"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 244\n	{"Pref"={"Pin-Priority"="244"}}
Package: Qtb\n\nPin: H"=\n\n# V\n\nPackage: Y\n	{"Pref"={"Package"="Qtb"}}{"Pref"={"Pin"="H"="}}{"Pref"={"#comment"="V"}}{"Pref"={"Package"="Y"}}
Explanation: S\n\nPin: \n\nPin-Priority: 10\n\nExplanation: Ao\n\nExplanation: :\n\nExplanation: /C\n\nPin: \n	{"Pref"={"Explanation"="S"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="10"}}{"Pref"={"Explanation"="Ao"}}{"Pref"={"Explanation"=":"}}{"Pref"={"Explanation"="/C"}}{"Pref"={"Pin"=""}}
# t\n	{"Pref"={"#comment"="t"}}
# C0\n\n# =:\n	{"Pref"={"#comment"="C0"}}{"Pref"={"#comment"="=:"}}
Pin-Priority: 1\n\nPin: g6 \n\n# y\n\nPin: UnJ_to\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"="g6 "}}{"Pref"={"#comment"="y"}}{"Pref"={"Pin"="UnJ_to"}}
Pin: nk\n\nPackage: \n\n# \n	{"Pref"={"Pin"="nk"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}
Package: .Uu\n	{"Pref"={"Package"=".Uu"}}
Explanation: /c_r\n\nExplanation: \n	{"Pref"={"Explanation"="/c_r"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 2\n\n# \n\nPin: D\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="D"}}
Pin-Priority: 217\n	{"Pref"={"Pin-Priority"="217"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Package: *\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin: \n\nPackage: *\n\nPin: \n\nPin: \n\n# +\n\nPackage: *\n\nExplanation: 0\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="+"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="0"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: x\n	{"Pref"={"Explanation"="x"}}
Pin-Priority: 5336\n\n# \n\nPin-Priority: 1602\n	{"Pref"={"Pin-Priority"="5336"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="1602"}}
Explanation: Z9\n	{"Pref"={"Explanation"="Z9"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Explanation: '\n\nPackage: \n\nPin: \n	{"Pref"={"Explanation"="'"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
# C\n\nPin-Priority: 73\n\nPin-Priority: 5240897\n\nPin-Priority: 6\n\n# \n	{"Pref"={"#comment"="C"}}{"Pref"={"Pin-Priority"="73"}}{"Pref"={"Pin-Priority"="5240897"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n\nPin: '\n\nPin-Priority: 92\n\nPin-Priority: 60\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="'"}}{"Pref"={"Pin-Priority"="92"}}{"Pref"={"Pin-Priority"="60"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 6\n\nPackage: *\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Package"="*"}}
Pin-Priority: 346\n\nPin: \n	{"Pref"={"Pin-Priority"="346"}}{"Pref"={"Pin"=""}}
# s\n\nPackage: \n\nPin-Priority: 559\n	{"Pref"={"#comment"="s"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="559"}}
Pin: 1\n\nPackage: *\n	{"Pref"={"Pin"="1"}}{"Pref"={"Package"="*"}}
Pin-Priority: 2\n\nPin: \n\nPackage: *\n\nPin-Priority: 3\n\nPin: 3\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin"="3"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n\nPin-Priority: 7\n\nPin-Priority: 96\n\nPin-Priority: 30\n\nPin: j\n\nPin: yQts2\n\nExplanation: 9-u\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="96"}}{"Pref"={"Pin-Priority"="30"}}{"Pref"={"Pin"="j"}}{"Pref"={"Pin"="yQts2"}}{"Pref"={"Explanation"="9-u"}}{"Pref"={"Package"="*"}}
# j\n	{"Pref"={"#comment"="j"}}
Explanation: 3\n\nPin: \n\nPin: Z\n	{"Pref"={"Explanation"="3"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="Z"}}
Explanation: B\n\nPin: H':k6\n	{"Pref"={"Explanation"="B"}}{"Pref"={"Pin"="H':k6"}}
Explanation: \n\nPin-Priority: 9\n\nPin: \n\nPin: \n\nExplanation: \n\nExplanation: h-J\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 03\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="h-J"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="03"}}
Explanation: +R\n	{"Pref"={"Explanation"="+R"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: \n\nPackage: *\n\n# \n\nExplanation: :\n\nPin-Priority: 72\n\n# R\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=":"}}{"Pref"={"Pin-Priority"="72"}}{"Pref"={"#comment"="R"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: cLg\n	{"Pref"={"Pin"="cLg"}}
Pin: dw\n	{"Pref"={"Pin"="dw"}}
Pin: 0hQ\n\nPackage: *\n	{"Pref"={"Pin"="0hQ"}}{"Pref"={"Package"="*"}}
Explanation: rN\n	{"Pref"={"Explanation"="rN"}}
Explanation: \n\nExplanation: \n\nPackage: d\n\nPin: GfI\n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="d"}}{"Pref"={"Pin"="GfI"}}{"Pref"={"Pin"=""}}
Pin-Priority: 0\n\nExplanation: Wap\n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"="Wap"}}
# \n	{"Pref"={"#comment"=""}}
# 4\n\nExplanation: G\n\n# \n\nPin: \n	{"Pref"={"#comment"="4"}}{"Pref"={"Explanation"="G"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}
Pin: U\n\n# e\n\n# =\n\nPin-Priority: 7\n\n# q\n	{"Pref"={"Pin"="U"}}{"Pref"={"#comment"="e"}}{"Pref"={"#comment"="="}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"="q"}}
Pin: F\n	{"Pref"={"Pin"="F"}}
# 5GbwDj1Z\n\nPin-Priority: 0\n\nPin: ZC0-\n\n# ft\n\nPackage: mH\n\nPin: \n\n# +iq\n	{"Pref"={"#comment"="5GbwDj1Z"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"="ZC0-"}}{"Pref"={"#comment"="ft"}}{"Pref"={"Package"="mH"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="+iq"}}
# Axq\n\nPin-Priority: 62\n	{"Pref"={"#comment"="Axq"}}{"Pref"={"Pin-Priority"="62"}}
# r\n\n# T\n	{"Pref"={"#comment"="r"}}{"Pref"={"#comment"="T"}}
Explanation: c=\n	{"Pref"={"Explanation"="c="}}
# :br\n	{"Pref"={"#comment"=":br"}}
Pin: ikb\n\nPin-Priority: 8\n	{"Pref"={"Pin"="ikb"}}{"Pref"={"Pin-Priority"="8"}}
Pin: 80\n	{"Pref"={"Pin"="80"}}
Package: *\n\nExplanation: \n\nPin-Priority: 910031\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="910031"}}
Pin-Priority: 2\n\nPin: jW\n\nExplanation: l-\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"="jW"}}{"Pref"={"Explanation"="l-"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: V\n\nPin-Priority: 593\n\nPin-Priority: 602957\n	{"Pref"={"Package"="V"}}{"Pref"={"Pin-Priority"="593"}}{"Pref"={"Pin-Priority"="602957"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: lq1\n\nPin-Priority: 7\n\nPackage: *\n	{"Pref"={"Pin"="lq1"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Package"="*"}}
Pin-Priority: 8\n\nPin-Priority: 1\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="1"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: s\n\n# Emv\n\n# ha\n	{"Pref"={"Explanation"="s"}}{"Pref"={"#comment"="Emv"}}{"Pref"={"#comment"="ha"}}
Pin: j\n\nExplanation: \n\nPin: y=g\n\nExplanation: \n\nPin: \n	{"Pref"={"Pin"="j"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="y=g"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
# nC"9su\n\nPin: e\n	{"Pref"={"#comment"="nC\"9su"}}{"Pref"={"Pin"="e"}}
Explanation: LU\n\nPackage: *\n	{"Pref"={"Explanation"="LU"}}{"Pref"={"Package"="*"}}
# sS\n\nPin-Priority: 10\n\nPin: G\n	{"Pref"={"#comment"="sS"}}{"Pref"={"Pin-Priority"="10"}}{"Pref"={"Pin"="G"}}
Package: *\n\nPackage: 8"\n\nPackage: Rd\n\n# S/+Lka.\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="8""}}{"Pref"={"Package"="Rd"}}{"Pref"={"#comment"="S/+Lka."}}
Pin: \n\nPin-Priority: 52\n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="52"}}{"Pref"={"Explanation"=""}}
Explanation: xiv\n	{"Pref"={"Explanation"="xiv"}}
Explanation: w3\n\nExplanation: zV\n\nPin: S"e\n	{"Pref"={"Explanation"="w3"}}{"Pref"={"Explanation"="zV"}}{"Pref"={"Pin"="S"e"}}
# c\n\nPin: \n	{"Pref"={"#comment"="c"}}{"Pref"={"Pin"=""}}
Pin: 3\n	{"Pref"={"Pin"="3"}}
Explanation: g\n	{"Pref"={"Explanation"="g"}}
# rWx\n\nExplanation: \n\nPin-Priority: 7770\n\nPin: \n\n# \n	{"Pref"={"#comment"="rWx"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="7770"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
Package: 7\n\nPin-Priority: 99315\n\nPin: \n	{"Pref"={"Package"="7"}}{"Pref"={"Pin-Priority"="99315"}}{"Pref"={"Pin"=""}}
Explanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}
Package: \n\nPin-Priority: 0911\n\nPackage: bbh\n\nPin-Priority: 3\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="0911"}}{"Pref"={"Package"="bbh"}}{"Pref"={"Pin-Priority"="3"}}
Explanation: Ly\n	{"Pref"={"Explanation"="Ly"}}
Pin-Priority: 75\n	{"Pref"={"Pin-Priority"="75"}}
Pin-Priority: 698\n\nPin-Priority: 0\n\nPin: /WL\n\nPin-Priority: 7479\n	{"Pref"={"Pin-Priority"="698"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"="/WL"}}{"Pref"={"Pin-Priority"="7479"}}
Package: i\n	{"Pref"={"Package"="i"}}
Explanation: 4\n\nPackage: *\n\nPin: M\n\nPackage: *\n	{"Pref"={"Explanation"="4"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="M"}}{"Pref"={"Package"="*"}}
# sA5gP\n\nPackage: *\n	{"Pref"={"#comment"="sA5gP"}}{"Pref"={"Package"="*"}}
Package: \n\nExplanation: 3o\n\nExplanation: \n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"="3o"}}{"Pref"={"Explanation"=""}}
Pin: \n\nPin-Priority: 53\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="53"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n\nExplanation: Sty\n\nPin-Priority: 6\n\n# Bq\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="Sty"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"="Bq"}}
Pin: T/_JA\n\nPin: c\n	{"Pref"={"Pin"="T/_JA"}}{"Pref"={"Pin"="c"}}
Pin-Priority: 9\n\n# W\n\nPin: N2\n\nPackage: \n\nPin-Priority: 79\n\n# \n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"#comment"="W"}}{"Pref"={"Pin"="N2"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="79"}}{"Pref"={"#comment"=""}}
Pin: j\n\nPin-Priority: 3\n\n# wGd 3\n\nExplanation: \n	{"Pref"={"Pin"="j"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"#comment"="wGd 3"}}{"Pref"={"Explanation"=""}}
# A7d\n\nPin: \n\nPin-Priority: 1\n	{"Pref"={"#comment"="A7d"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="1"}}
Explanation: \n\nPin-Priority: 9\n\nPin-Priority: 0\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin-Priority"="0"}}
Package: *\n\nPackage: dTiHy"\n\nExplanation: 1j\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="dTiHy""}}{"Pref"={"Explanation"="1j"}}
Package: *\n\n# \n\nExplanation: J\n\nPackage: \n\nPin: OE3ubf\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="J"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="OE3ubf"}}
Package: 9 u\n	{"Pref"={"Package"="9 u"}}
Explanation: m\n	{"Pref"={"Explanation"="m"}}
Pin: JB\n	{"Pref"={"Pin"="JB"}}
# VjY\n	{"Pref"={"#comment"="VjY"}}
Package: q'mU\n	{"Pref"={"Package"="q'mU"}}
Pin: \n\nPin: c14\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="c14"}}
Explanation: 5\n\nPin-Priority: 52\n\nPackage: *\n	{"Pref"={"Explanation"="5"}}{"Pref"={"Pin-Priority"="52"}}{"Pref"={"Package"="*"}}
Pin: _b5\n	{"Pref"={"Pin"="_b5"}}
Pin: i\n	{"Pref"={"Pin"="i"}}
Explanation: L\n\nPackage: 0\n	{"Pref"={"Explanation"="L"}}{"Pref"={"Package"="0"}}
Package: M\n	{"Pref"={"Package"="M"}}
# 'sRGqn0/w\n\n# de\n\nPin: \n	{"Pref"={"#comment"="'sRGqn0/w"}}{"Pref"={"#comment"="de"}}{"Pref"={"Pin"=""}}
Explanation: -9-\n	{"Pref"={"Explanation"="-9-"}}
Explanation: fV\n	{"Pref"={"Explanation"="fV"}}
Pin: jAl\n	{"Pref"={"Pin"="jAl"}}
Explanation: H\n	{"Pref"={"Explanation"="H"}}
Explanation: E2\n\nPin: \n	{"Pref"={"Explanation"="E2"}}{"Pref"={"Pin"=""}}
Explanation: w\n\n# \n	{"Pref"={"Explanation"="w"}}{"Pref"={"#comment"=""}}
Explanation: \n\nPin: j\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="j"}}
Package: \n\nPin-Priority: 5\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="5"}}
Explanation: 4+\n\n# \n\nPin-Priority: 60\n\nPin: \n	{"Pref"={"Explanation"="4+"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="60"}}{"Pref"={"Pin"=""}}
Pin-Priority: 2\n	{"Pref"={"Pin-Priority"="2"}}
Package: l \n\nPin-Priority: 7\n\nExplanation: GA\n	{"Pref"={"Package"="l "}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="GA"}}
Package: *\n\nPin: \n\n# m0M\n\n# \n\nPin: a\n\n# TaI\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="m0M"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="a"}}{"Pref"={"#comment"="TaI"}}{"Pref"={"#comment"=""}}
Package: q\n\n# \n\n# nG\n	{"Pref"={"Package"="q"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="nG"}}
Package: *\n\nPin: haW\n\nExplanation: CP\n\n# \n\nExplanation: cZIuQ\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="haW"}}{"Pref"={"Explanation"="CP"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="cZIuQ"}}
Package: o\n\nPackage: \n\n# lPit\n\nPackage: Ry.pF\n	{"Pref"={"Package"="o"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="lPit"}}{"Pref"={"Package"="Ry.pF"}}
Package: f7:\n	{"Pref"={"Package"="f7:"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: 7\n	{"Pref"={"Pin"="7"}}
Pin: iil\n	{"Pref"={"Pin"="iil"}}
# 7:qKB+DAZ\n\n# \n\n# FO\n	{"Pref"={"#comment"="7:qKB+DAZ"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="FO"}}
Pin: g\n\nPin-Priority: 9147\n	{"Pref"={"Pin"="g"}}{"Pref"={"Pin-Priority"="9147"}}
Pin-Priority: 2\n	{"Pref"={"Pin-Priority"="2"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: D\n\n# GU9W\n\nPin: W\n\nPackage: \n	{"Pref"={"Pin"="D"}}{"Pref"={"#comment"="GU9W"}}{"Pref"={"Pin"="W"}}{"Pref"={"Package"=""}}
Explanation: \n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Pin: J0\n	{"Pref"={"Pin"="J0"}}
Pin: Th\n	{"Pref"={"Pin"="Th"}}
Pin-Priority: 805\n	{"Pref"={"Pin-Priority"="805"}}
Pin-Priority: 863\n\nPin-Priority: 8274\n	{"Pref"={"Pin-Priority"="863"}}{"Pref"={"Pin-Priority"="8274"}}
Pin-Priority: 1\n\nPin: \n\nPin-Priority: 0\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="0"}}
# NBi\n	{"Pref"={"#comment"="NBi"}}
Pin-Priority: 71\n	{"Pref"={"Pin-Priority"="71"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: \n\nPin-Priority: 94810\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="94810"}}
# jZ\n	{"Pref"={"#comment"="jZ"}}
Package: \n\nPin: \n	{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
Explanation: i\n\nPin: 3\n\nExplanation: \n\nPackage: *\n	{"Pref"={"Explanation"="i"}}{"Pref"={"Pin"="3"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin: 5\n\nExplanation: T+g\n	{"Pref"={"Pin"="5"}}{"Pref"={"Explanation"="T+g"}}
# l\n\nExplanation: 6\n	{"Pref"={"#comment"="l"}}{"Pref"={"Explanation"="6"}}
# fnS\n\nPackage: \n\nPin: t\n	{"Pref"={"#comment"="fnS"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="t"}}
Pin: I\n\nExplanation: LfZ\n\nPin: pd\n\n# ET\n	{"Pref"={"Pin"="I"}}{"Pref"={"Explanation"="LfZ"}}{"Pref"={"Pin"="pd"}}{"Pref"={"#comment"="ET"}}
Pin: "gW3Pkg\n	{"Pref"={"Pin"=""gW3Pkg"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
# wGC\n	{"Pref"={"#comment"="wGC"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
# g\n\nExplanation: Iz\n\n# /bcyP\n\nPin-Priority: 581\n\nPin: Tg\n\nExplanation: Tv-Pu\n\nPackage: \n\n# \n	{"Pref"={"#comment"="g"}}{"Pref"={"Explanation"="Iz"}}{"Pref"={"#comment"="/bcyP"}}{"Pref"={"Pin-Priority"="581"}}{"Pref"={"Pin"="Tg"}}{"Pref"={"Explanation"="Tv-Pu"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 933\n\nPin: GCDw'N2\n	{"Pref"={"Pin-Priority"="933"}}{"Pref"={"Pin"="GCDw'N2"}}
Pin: +\n	{"Pref"={"Pin"="+"}}
Package: Or\n\nExplanation: AY\n	{"Pref"={"Package"="Or"}}{"Pref"={"Explanation"="AY"}}
Pin: \n\nExplanation: p1m\n\nPackage: RIAAALo4K6"r\n\nPackage: *\n\nPin-Priority: 069\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="p1m"}}{"Pref"={"Package"="RIAAALo4K6"r"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="069"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nExplanation: /w=n\n\nPin-Priority: 8\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="/w=n"}}{"Pref"={"Pin-Priority"="8"}}
Pin-Priority: 1\n\nExplanation: \n\nPackage: Z8-X\n\nPin-Priority: 590\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="Z8-X"}}{"Pref"={"Pin-Priority"="590"}}
Package: A\n\nPackage: 2xny=BaXW7.FP_Xf\n	{"Pref"={"Package"="A"}}{"Pref"={"Package"="2xny=BaXW7.FP_Xf"}}
Explanation: t'MRk\n\nExplanation: \n\nPin: 'Mm\n	{"Pref"={"Explanation"="t'MRk"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="'Mm"}}
# \n\nPin:  _a\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=" _a"}}
Pin: "r\n\nPackage: *\n	{"Pref"={"Pin"=""r"}}{"Pref"={"Package"="*"}}
Pin-Priority: 5\n\n# \n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"=""}}
Pin-Priority: 87\n\nPin-Priority: 4\n\nExplanation: Y-\n\nPackage: \n\nPin-Priority: 5458\n	{"Pref"={"Pin-Priority"="87"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"="Y-"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="5458"}}
Explanation: N\n	{"Pref"={"Explanation"="N"}}
Package: W\n\nPin: \n\nExplanation: X\n	{"Pref"={"Package"="W"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="X"}}
Pin-Priority: 092\n	{"Pref"={"Pin-Priority"="092"}}
Pin: wHaj\n\nPin-Priority: 4\n	{"Pref"={"Pin"="wHaj"}}{"Pref"={"Pin-Priority"="4"}}
Pin: T\n\nPin-Priority: 3\n\nPin-Priority: 53\n	{"Pref"={"Pin"="T"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="53"}}
Pin: \n\nPin: 2g5\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="2g5"}}
Pin-Priority: 31\n\nPin: qwhhZw 8Q\n\nPackage: 0"-Vf\n\nPackage: *\n	{"Pref"={"Pin-Priority"="31"}}{"Pref"={"Pin"="qwhhZw 8Q"}}{"Pref"={"Package"="0"-Vf"}}{"Pref"={"Package"="*"}}
Pin-Priority: 110\n	{"Pref"={"Pin-Priority"="110"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: M\n\nPin: R\n\n# MKb\n\nExplanation: uO\n\nExplanation: ".aoOb\n\nPackage: *\n\nExplanation: \n	{"Pref"={"Explanation"="M"}}{"Pref"={"Pin"="R"}}{"Pref"={"#comment"="MKb"}}{"Pref"={"Explanation"="uO"}}{"Pref"={"Explanation"="".aoOb"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin: 3O\n\nExplanation: F\n	{"Pref"={"Pin"="3O"}}{"Pref"={"Explanation"="F"}}
Pin: GCpERE4\n\nExplanation: X\n	{"Pref"={"Pin"="GCpERE4"}}{"Pref"={"Explanation"="X"}}
Pin: \n\nPin-Priority: 18\n\nExplanation: Jeb\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="18"}}{"Pref"={"Explanation"="Jeb"}}
Pin-Priority: 91\n\nPackage: .iQ7HWv1\n\nExplanation: APC\n	{"Pref"={"Pin-Priority"="91"}}{"Pref"={"Package"=".iQ7HWv1"}}{"Pref"={"Explanation"="APC"}}
Pin: 0\n	{"Pref"={"Pin"="0"}}
Pin: R\n\nExplanation: .-x\n\nPin: \n	{"Pref"={"Pin"="R"}}{"Pref"={"Explanation"=".-x"}}{"Pref"={"Pin"=""}}
