JA, G	ja g
GD, UPTVJPYWZF	gd uptvjpywzf
Y, BFO	y bfo
GTN, JEF	gtn jef
T, F	t f
FCKRSNDXU, GEKV	fckrsndxu gekv
J, YBZ	j ybz
T, V	t v
QQU, FWB	qqu fwb
OTITK, RRQBXC	otitk rrqbxc
SH, UZ	sh uz
VPW, MJINC	vpw mjinc
YJ, Q	yj q
P, M	p m
O, W	o w
DRCQ, N	drcq n
I, XOGUITB	i xoguitb
AMNU, SS	amnu ss
YL, FWN	yl fwn
I, Z	i z
D, WLFPU	d wlfpu
P, FDMQJI	p fdmqji
P, S	p s
QJ, NFG	qj nfg
BR, WI	br wi
Y, L	y l
H, ZQEGI	h zqegi
Z, Z	z z
U, GF	u gf
UQO, MCEC	uqo mcec
JJI, PDJRS	jji pdjrs
I, DCQ	i dcq
ZRVU, A	zrvu a
DAGY, GZ	dagy gz
JKD, O	jkd o
RD, C	rd c
OMN, TY	omn ty
F, D	f d
Z, WA	z wa
ZHET, HP	zhet hp
P, W	p w
F, PIIVG	f piivg
U, AFPDJLO	u afpdjlo
M, I	m i
YA, JUBN	ya jubn
F, O	f o
SZB, A	szb a
T, W	t w
CY, Y	cy y
FK, QR	fk qr
B, VUERHH	b vuerhh
Q, CL	q cl
YUUJT, J	yuujt j
D, AH	d ah
D, AG	d ag
TZSSCNHN, VU	tzsscnhn vu
VNLYAX, HKRMSW	vnlyax hkrmsw
Q, GSL	q gsl
R, M	r m
NVEW, DA	nvew da
RFU, HI	rfu hi
R, LQ	r lq
BA, FKGRC	ba fkgrc
R, I	r i
M, C	m c
T, HCK	t hck
FABXJTDZD, ECXXUHY	fabxjtdzd ecxxuhy
NIN, R	nin r
VNZ, OGQY	vnz ogqy
I, ZZGDR	i zzgdr
BGAI, BGUQJS	bgai bguqjs
ID, L	id l
UIGJMSNKADUU, PXFB	uigjmsnkaduu pxfb
CAIG, IQ	caig iq
CVG, H	cvg h
Z, PKWB	z pkwb
KNCRLCWO, CGLTUUIYE	kncrlcwo cgltuuiye
Z, WBO	z wbo
AOMXYY, G	aomxyy g
A, S	a s
L, DC	l dc
ND, R	nd r
XQDYM, T	xqdym t
M, SN	m sn
OEEM, W	oeem w
I, WS	i ws
Q, DW	q dw
ZV, W	zv w
BR, FN	br fn
SB, ANCK	sb anck
IC, Y	ic y
Z, Y	z y
XY, BNMOME	xy bnmome
KL, HU	kl hu
YJ, MC	yj mc
YA, PVW	ya pvw
V, PKQ	v pkq
HI, JN	hi jn
PKSOM, QX	pksom qx
GPUD, WU	gpud wu
B, SR	b sr
A, P	a p
M, T	m t
B, HOCS	b hocs
LPIAZ, E	lpiaz e
FA, VZMR	fa vzmr
YV, M	yv m
PM, PPAKQKRS	pm ppakqkrs
HYJ, RIIE	hyj riie
VQ, XW	vq xw
P, X	p x
S, NQNVT	s nqnvt
V, BZO	v bzo
II, T	ii t
BTI, S	bti s
BWB, CN	bwb cn
T, D	t d
EXRUN, FMCKSM	exrun fmcksm
I, BIBV	i bibv
PX, ICONSV	px iconsv
LWW, F	lww f
BR, WW	br ww
G, BEVDAM	g bevdam
XUQ, GNVC	xuq gnvc
I, AJOKIRPGH	i ajokirpgh
F, GRE	f gre
FPTV, OF	fptv of
D, M	d m
EMQX, Z	emqx z
V, Y	v y
B, HV	b hv
PY, D	py d
I, JFDX	i jfdx
JPZH, L	jpzh l
F, A	f a
CFFOJFLK, GBPQ	cffojflk gbpq
QC, C	qc c
OI, RV	oi rv
W, V	w v
WJFHC, PUQ	wjfhc puq
QPX, GMPU	qpx gmpu
S, MY	s my
P, KQEZP	p kqezp
X, B	x b
G, UVV	g uvv
ICJOVV, UY	icjovv uy
NRVVUV, H	nrvvuv h
LUB, KJC	lub kjc
P, U	p u
FF, YU	ff yu
YH, A	yh a
JZ, BVZW	jz bvzw
BC, SB	bc sb
V, XMZ	v xmz
LY, TW	ly tw
JV, S	jv s
E, LL	e ll
RS, OQ	rs oq
KDJ, R	kdj r
J, M	j m
J, W	j w
FXZ, U	fxz u
WO, J	wo j
N, AJ	n aj
BH, PQ	bh pq
AR, J	ar j
C, UG	c ug
WRHQ, I	wrhq i
LSV, L	lsv l
MLOI, I	mloi i
BX, YEM	bx yem
V, G	v g
OX, BXG	ox bxg
N, GN	n gn
H, FXWQ	h fxwq
JFUFOE, KXZ	jfufoe kxz
T, HJ	t hj
JM, U	jm u
F, EJCC	f ejcc
O, PSQG	o psqg
WJ, HI	wj hi
H, N	h n
UBX, NRYOW	ubx nryow
ZMK, EW	zmk ew
NYJ, OQI	nyj oqi
UJFOO, CSYVYCUGZ	ujfoo csyvycugz
M, UNVEXM	m unvexm
P, E	p e
G, E	g e
GXZAJ, GZ	gxzaj gz
Q, WY	q wy
X, J	x j
BPHSHX, WQI	bphshx wqi
MHE, UMK	mhe umk
B, Y	b y
P, M	p m
H, IYO	h iyo
TJ, PDW	tj pdw
P, A	p a
UZTQIFYSK, J	uztqifysk j
T, B	t b
COSZCF, V	coszcf v
OVKWWFZ, VTSJ	ovkwwfz vtsj
G, X	g x
ER, L	er l
LX, RW	lx rw
HYTS, HH	hyts hh
YZII, Y	yzii y
DGVCMR, LIW	dgvcmr liw
NHU, LR	nhu lr
UXE, M	uxe m
CC, F	cc f
GFUM, E	gfum e
EG, FPOT	eg fpot
XXF, I	xxf i
FJ, O	fj o
QV, WARQ	qv warq
UQ, JHXKPN	uq jhxkpn
YBK, UX	ybk ux
Z, GOUWCHSZMQYF	z gouwchszmqyf
BEI, GYJ	bei gyj
SOBCM, U	sobcm u
XBWI, Q	xbwi q
NJP, S	njp s
O, U	o u
CPI, O	cpi o
LF, H	lf h
RF, W	rf w
GVP, AQTJ	gvp aqtj
DGNT, F	dgnt f
UPWAD, BC	upwad bc
JVGOL, XD	jvgol xd
IT, BD	it bd
T, J	t j
JX, N	jx n
JI, R	ji r
K, K	k k
ONK, VELUUY	onk veluuy
XDC, R	xdc r
O, L	o l
E, OK	e ok
M, N	m n
WOGVRU, QE	wogvru qe
U, F	u f
X, KWYK	x kwyk
XNTJ, HO	xntj ho
L, EM	l em
OO, HOLU	oo holu
SISJHQ, ZVWF	sisjhq zvwf
KULCZ, C	kulcz c
HJK, MBNOJX	hjk mbnojx
HF, MIJBRYM	hf mijbrym
IUSR, D	iusr d
AG, L	ag l
FP, Y	fp y
Z, K	z k
KHHALUZ, AYBYFNI	khhaluz aybyfni
LIUDL, Y	liudl y
W, GPI	w gpi
WPIS, KTCBZS	wpis ktcbzs
K, UB	k ub
COA, V	coa v
A, BORAHJRB	a borahjrb
KA, WX	ka wx
B, D	b d
Y, R	y r
UC, B	uc b
DCMFF, FTHEPXZWA	dcmff fthepxzwa
NJ, ERPPLAI	nj erpplai
XW, EWH	xw ewh
O, TF	o tf
UE, C	ue c
GBTA, RD	gbta rd
EJ, N	ej n
RP, LBEQ	rp lbeq
E, ALYFF	e alyff
HDLRRZ, E	hdlrrz e
Z, N	z n
Y, TU	y tu
U, ZCAIFJUN	u zcaifjun
JPED, VTIO	jped vtio
WIZDM, VKC	wizdm vkc
PEGZRCBX, O	pegzrcbx o
G, IU	g iu
O, L	o l
E, KJ	e kj
QB, D	qb d
I, REUNP	i reunp
SGZNDX, WU	sgzndx wu
L, EL	l el
A, JZNHV	a jznhv
VG, Q	vg q
Q, XDL	q xdl
NGTV, A	ngtv a
DT, X	dt x
IVJFUC, LUQVA	ivjfuc luqva
BK, NJ	bk nj
KSN, ZQ	ksn zq
C, MHUX	c mhux
T, XUMBHLK	t xumbhlk
UMYT, RFZRG	umyt rfzrg
E, DEC	e dec
C, TR	c tr
X, U	x u
D, KX	d kx
AT, BK	at bk
VA, MWP	va mwp
B, BENYWDRU	b benywdru
G, T	g t
LJ, TG	lj tg
BYPW, L	bypw l
E, W	e w
M, W	m w
U, UKHDL	u ukhdl
L, PLLC	l pllc
OVF, I	ovf i
Q, F	q f
SR, ZEXE	sr zexe
HJQ, NG	hjq ng
Z, B	z b
YN, PVG	yn pvg
Y, RIYM	y riym
D, V	d v
MZWRX, BC	mzwrx bc
Q, NPOG	q npog
YKDC, LCU	ykdc lcu
QY, F	qy f
HBELI, L	hbeli l
Y, T	y t
M, M	m m
CI, F	ci f
ECBMSPN, N	ecbmspn n
O, R	o r
YIEE, Z	yiee z
L, EB	l eb
B, FWN	b fwn
OHXAY, WUM	ohxay wum
YI, XANW	yi xanw
ZX, OC	zx oc
HYHJL, R	hyhjl r
SVWXWPFCZ, CYV	svwxwpfcz cyv
Y, VS	y vs
N, GK	n gk
E, EC	e ec
OU, FKHH	ou fkhh
CO, S	co s
O, WI	o wi
G, M	g m
AOAFSIAQWJ, LW	aoafsiaqwj lw
HZWNAO, CRR	hzwnao crr
H, BM	h bm
A, SNVHKBTO	a snvhkbto
VDT, LXUNI	vdt lxuni
FOI, HL	foi hl
S, E	s e
JGE, UIYW	jge uiyw
K, T	k t
HY, CJ	hy cj
REQE, A	reqe a
NFM, B	nfm b
YT, W	yt w
Z, HTK	z htk
XH, WD	xh wd
Y, WQ	y wq
VN, NN	vn nn
F, EMBO	f embo
XO, JQ	xo jq
QYFLT, KUGU	qyflt kugu
BVEJ, GH	bvej gh
J, JD	j jd
VI, A	vi a
IDQELO, EZBELXD	idqelo ezbelxd
W, IB	w ib
OBAXDA, C	obaxda c
RQR, DQ	rqr dq
DBY, B	dby b
NK, JF	nk jf
AZB, Y	azb y
BF, HN	bf hn
KMS, NN	kms nn
ALY, JKB	aly jkb
URE, E	ure e
A, WYN	a wyn
LY, EA	ly ea
VCDYC, LW	vcdyc lw
SM, VN	sm vn
D, Y	d y
I, W	i w
A, SOCA	a soca
I, C	i c
Z, A	z a
F, V	f v
VUKLSCW, W	vuklscw w
CFN, UH	cfn uh
YJFO, OV	yjfo ov
MT, LRV	mt lrv
NW, YAXT	nw yaxt
X, UPWVQ	x upwvq
WF, Z	wf z
OUETWP, P	ouetwp p
VE, FMR	ve fmr
QZ, S	qz s
Q, Z	q z
WZR, ANU	wzr anu
Q, SB	q sb
MEEGLUXH, BCLTQ	meegluxh bcltq
HLXF, FWQQQ	hlxf fwqqq
KDCMVR, Y	kdcmvr y
JZG, EB	jzg eb
Q, FO	q fo
G, Y	g y
N, DIZLHF	n dizlhf
R, L	r l
C, C	c c
TR, U	tr u
OH, YC	oh yc
R, L	r l
BSE, D	bse d
T, GP	t gp
MHFFK, IN	mhffk in
ZB, XTG	zb xtg
D, FGU	d fgu
RXELY, VOP	rxely vop
PNER, PU	pner pu
C, HTTC	c httc
LZ, Y	lz y
Y, X	y x
V, D	v d
KGJLX, RL	kgjlx rl
ABW, K	abw k
DU, F	du f
RJK, ZY	rjk zy
G, G	g g
E, AM	e am
PAZGQLT, RRM	pazgqlt rrm
QK, N	qk n
VYWTZ, K	vywtz k
L, Q	l q
SIZ, G	siz g
NW, FLERHJS	nw flerhjs
B, R	b r
OCO, NENVPY	oco nenvpy
E, I	e i
D, LCC	d lcc
UB, LNA	ub lna
VDM, HOZ	vdm hoz
CCT, CBMIWVJ	cct cbmiwvj
HQ, BTOIR	hq btoir
X, OZAJUTG	x ozajutg
HBTIU, T	hbtiu t
N, Z	n z
C, EQT	c eqt
A, L	a l
C, U	c u
RZCV, BWL	rzcv bwl
DAAF, IJOP	daaf ijop
N, K	n k
QRO, W	qro w
B, QVGMFL	b qvgmfl
UBE, DRKWOOCE	ube drkwooce
FH, HOY	fh hoy
FGS, K	fgs k
BI, MXU	bi mxu
SQSDN, O	sqsdn o
LVQPJPF, W	lvqpjpf w
RHZ, II	rhz ii
Z, S	z s
R, TB	r tb
EV, M	ev m
Y, BRSIRXCUMP	y brsirxcump
R, Y	r y
Q, ZM	q zm
YGU, NM	ygu nm
QQ, W	qq w
HHKBAX, Y	hhkbax y
C, QC	c qc
J, D	j d
PF, CU	pf cu
SPA, R	spa r
TR, B	tr b
A, TL	a tl
Q, K	q k
DN, CEQ	dn ceq
PSY, SKE	psy ske
W, I	w i
VZV, NU	vzv nu
KFB, I	kfb i
ZL, O	zl o
N, VF	n vf
L, FCEMA	l fcema
VDTPKWD, AG	vdtpkwd ag
T, C	t c
D, F	d f
GB, Z	gb z
SDX, VOC	sdx voc
AQYYC, H	aqyyc h
ALD, T	ald t
F, BU	f bu
MSCU, E	mscu e
J, P	j p
KZ, MPKO	kz mpko
W, PC	w pc
NY, U	ny u
TLUM, KW	tlum kw
XEB, O	xeb o
QU, HMW	qu hmw
KKG, NM	kkg nm
S, P	s p
SLD, A	sld a
N, LI	n li
TEJZK, DUEVSIO	tejzk duevsio
L, JNCNTYFWTM	l jncntyfwtm
U, K	u k
YU, Z	yu z
WUI, NWCBMFOCA	wui nwcbmfoca
G, DJIKY	g djiky
B, QLIAPO	b qliapo
ET, O	et o
T, YYR	t yyr
I, HGFN	i hgfn
QD, SC	qd sc
Y, R	y r
WTU, X	wtu x
UYQ, NDCX	uyq ndcx
DPVJ, E	dpvj e
THVP, Y	thvp y
RG, YS	rg ys
NAMHEF, MKFJ	namhef mkfj
L, IBG	l ibg
F, KFWJ	f kfwj
RVFAP, KIF	rvfap kif
B, JV	b jv
SD, QMWB	sd qmwb
OC, R	oc r
QCXIY, FJENSH	qcxiy fjensh
UF, HJM	uf hjm
T, JFMY	t jfmy
NN, UFX	nn ufx
R, XGYLH	r xgylh
M, GA	m ga
F, G	f g
T, CUTG	t cutg
M, BBQV	m bbqv
C, SXVEW	c sxvew
QN, Y	qn y
R, OJ	r oj
YSHMLHGU, SH	yshmlhgu sh
DQCGHXECERQN, W	dqcghxecerqn w
F, TJK	f tjk
W, BJQI	w bjqi
GDI, XZDL	gdi xzdl
E, Z	e z
O, FIFHY	o fifhy
Z, BKUX	z bkux
SLXLD, YW	slxld yw
BP, AKNCQ	bp akncq
JL, QP	jl qp
K, ILHI	k ilhi
GA, I	ga i
EY, OS	ey os
QL, YA	ql ya
ZHHJD, YL	zhhjd yl
O, LV	o lv
IDJ, Q	idj q
XMQPNDF, AZ	xmqpndf az
G, IE	g ie
UER, RD	uer rd
UUF, Z	uuf z
LT, X	lt x
K, UC	k uc
O, TBB	o tbb
J, AF	j af
L, EJOOJHI	l ejoojhi
H, HM	h hm
B, XW	b xw
B, TMN	b tmn
IM, Q	im q
NFDBRA, JJW	nfdbra jjw
JPO, CYOFCH	jpo cyofch
L, UXVK	l uxvk
DL, EH	dl eh
OCMZEJM, WFGR	ocmzejm wfgr
ULA, Z	ula z
J, LP	j lp
J, VCO	j vco
D, X	d x
IXZB, NYK	ixzb nyk
XXB, OJ	xxb oj
WVU, EW	wvu ew
SDF, AYDB	sdf aydb
AQ, TBUK	aq tbuk
XZ, DF	xz df
Z, PBA	z pba
MH, MQTL	mh mqtl
L, XH	l xh
BZ, RTKYJ	bz rtkyj
J, I	j i
IR, ZQ	ir zq
YA, JTDZ	ya jtdz
S, HG	s hg
TMKMU, PIT	tmkmu pit
R, VW	r vw
I, Z	i z
UJ, FWGB	uj fwgb
C, W	c w
MD, KJ	md kj
ZQ, A	zq a
Y, Z	y z
MVU, DI	mvu di
XLRFILE, O	xlrfile o
OI, HVMY	oi hvmy
HD, BEX	hd bex
Q, EGEJ	q egej
G, H	g h
DA, TA	da ta
VHJE, JBFEIG	vhje jbfeig
Y, YAU	y yau
UCINMU, E	ucinmu e
W, V	w v
X, NYSU	x nysu
PTFAOA, U	ptfaoa u
JUYA, EHR	juya ehr
LRZU, HJ	lrzu hj
U, L	u l
OZW, TV	ozw tv
BGHTYUVRV, X	bghtyuvrv x
V, PFXREC	v pfxrec
RQ, Z	rq z
HI, ZDS	hi zds
H, U	h u
DXG, TBR	dxg tbr
Z, FO	z fo
C, Y	c y
CZ, HQT	cz hqt
Z, IG	z ig
Q, TY	q ty
EB, I	eb i
A, A	a a
W, J	w j
X, FY	x fy
BAIA, TZR	baia tzr
CE, S	ce s
S, LEBI	s lebi
ER, BSO	er bso
EVQ, K	evq k
XLG, P	xlg p
EWY, V	ewy v
KV, TK	kv tk
B, Y	b y
B, OVJD	b ovjd
DB, GIVF	db givf
V, KNC	v knc
PK, O	pk o
HX, GDD	hx gdd
YP, LB	yp lb
I, AFRTAFC	i afrtafc
XXV, OTIH	xxv otih
S, PM	s pm
BL, Q	bl q
I, WF	i wf
J, X	j x
YPYTOB, CV	ypytob cv
UWUJDXVW, Z	uwujdxvw z
ZJK, I	zjk i
CG, IRCL	cg ircl
X, J	x j
UBA, IKEUT	uba ikeut
PRB, HI	prb hi
IJ, ZK	ij zk
QG, AVI	qg avi
BW, Q	bw q
DIO, SERTZD	dio sertzd
X, M	x m
D, N	d n
U, GJ	u gj
Z, OWRXZL	z owrxzl
C, K	c k
CTMKE, II	ctmke ii
HPO, BCE	hpo bce
AC, M	ac m
VKLO, DETRDMLZ	vklo detrdmlz
ZBO, LVZWYO	zbo lvzwyo
MO, X	mo x
AL, H	al h
AHVFFW, H	ahvffw h
YW, L	yw l
AJ, YOXLL	aj yoxll
I, PHG	i phg
MNP, X	mnp x
N, PD	n pd
OK, Q	ok q
DWXV, B	dwxv b
YIGNI, ZWZ	yigni zwz
G, X	g x
Y, O	y o
LWJE, M	lwje m
YAVG, J	yavg j
G, W	g w
KB, Q	kb q
ZGPWKM, OL	zgpwkm ol
R, NLY	r nly
IYV, ULL	iyv ull
RHA, WTWF	rha wtwf
V, CIIZ	v ciiz
V, YTEF	v ytef
X, ODDA	x odda
Q, GE	q ge
UIMC, D	uimc d
E, G	e g
DDRE, FDNCZ	ddre fdncz
O, R	o r
A, WJ	a wj
EUIYW, TR	euiyw tr
PMFD, MG	pmfd mg
LL, QC	ll qc
XV, WTL	xv wtl
VN, QL	vn ql
KNYJ, V	knyj v
IMSTAE, VW	imstae vw
T, CL	t cl
QL, R	ql r
E, LQ	e lq
AH, T	ah t
SVUKV, DPFNFF	svukv dpfnff
QZX, R	qzx r
SXMJQ, NAOBFF	sxmjq naobff
KD, X	kd x
I, EMQBFL	i emqbfl
M, SXFJ	m sxfj
L, K	l k
SZP, TO	szp to
D, XDNVYMG	d xdnvymg
QS, AT	qs at
A, C	a c
E, L	e l
C, QB	c qb
TFW, I	tfw i
V, DP	v dp
C, BJZ	c bjz
Q, FKRC	q fkrc
J, RM	j rm
YMRI, P	ymri p
PG, EUVNW	pg euvnw
OPON, NTDGAQT	opon ntdgaqt
UOHU, IR	uohu ir
UKB, V	ukb v
J, W	j w
V, GV	v gv
X, N	x n
A, BG	a bg
T, IR	t ir
ZFWEB, KNO	zfweb kno
A, K	a k
D, X	d x
VQEY, O	vqey o
Y, HVXKF	y hvxkf
Q, D	q d
QZR, XZKW	qzr xzkw
QID, AK	qid ak
KP, HMJYF	kp hmjyf
IRE, TUMYQA	ire tumyqa
U, S	u s
ENVPHNTOU, F	envphntou f
P, M	p m
I, Y	i y
NCP, WAXIS	ncp waxis
O, C	o c
QTPMS, P	qtpms p
T, UK	t uk
P, H	p h
G, ENET	g enet
D, ENOBF	d enobf
YWPNBOCH, JI	ywpnboch ji
FUG, RT	fug rt
HBZWGL, S	hbzwgl s
V, ZV	v zv
Q, KRMKS	q krmks
D, Y	d y
E, D	e d
B, CC	b cc
IUPC, NBME	iupc nbme
KA, RGRAF	ka rgraf
EZGW, TZUBM	ezgw tzubm
CTLJUGN, W	ctljugn w
PS, VRL	ps vrl
OXZ, TJOJ	oxz tjoj
TUHNHSXIS, FD	tuhnhsxis fd
P, INBJW	p inbjw
EMURY, N	emury n
UKI, BP	uki bp
EN, H	en h
BHT, VY	bht vy
DW, OUDH	dw oudh
SQ, MI	sq mi
WHMLW, H	whmlw h
TS, JHKI	ts jhki
G, QKFXVBY	g qkfxvby
VEN, I	ven i
AY, VBH	ay vbh
EJLZB, CFIG	ejlzb cfig
V, B	v b
G, ZACUV	g zacuv
T, U	t u
YY, Q	yy q
ZK, J	zk j
EIRQGUGG, EUK	eirqgugg euk
CLNT, D	clnt d
KC, M	kc m
ZUIXB, E	zuixb e
QB, U	qb u
IR, RVAB	ir rvab
DME, UWC	dme uwc
LN, SOE	ln soe
W, FSN	w fsn
OFZ, KE	ofz ke
DJ, FZ	dj fz
YR, VZJL	yr vzjl
IR, O	ir o
L, RKMVOA	l rkmvoa
VYM, TNZ	vym tnz
VFF, UF	vff uf
SA, V	sa v
B, LUQXY	b luqxy
DL, SW	dl sw
LXQ, IOU	lxq iou
E, A	e a
EOR, R	eor r
TYQNQKYWGQN, D	tyqnqkywgqn d
CRFJLUH, GY	crfjluh gy
BZ, YMT	bz ymt
UM, KF	um kf
I, G	i g
ZI, X	zi x
T, XQ	t xq
C, SVACRK	c svacrk
WN, Z	wn z
F, N	f n
F, AD	f ad
M, OTUISGE	m otuisge
Z, UNZE	z unze
RSJZ, DPM	rsjz dpm
SYF, GL	syf gl
BU, MEJDXQ	bu mejdxq
WGMW, J	wgmw j
WT, XD	wt xd
AD, XKK	ad xkk
UVJKYSJ, V	uvjkysj v
MM, EOJZGXQZG	mm eojzgxqzg
V, T	v t
GAFFGC, GAD	gaffgc gad
EF, F	ef f
V, SSN	v ssn
Q, M	q m
FHTR, DPMC	fhtr dpmc
BYNY, O	byny o
Y, JBVVQD	y jbvvqd
NV, M	nv m
G, CO	g co
S, BGFPUH	s bgfpuh
QTV, YNEQN	qtv yneqn
WMSXAD, FY	wmsxad fy
BNMQX, A	bnmqx a
LNB, Z	lnb z
DBOZBTLW, C	dbozbtlw c
K, CSP	k csp
Y, X	y x
GJEEF, A	gjeef a
A, PR	a pr
J, IDY	j idy
KBJ, X	kbj x
W, ZML	w zml
OEBIFJDD, OU	oebifjdd ou
LO, WJ	lo wj
ZWJNLUO, K	zwjnluo k
NMNY, SUEEXA	nmny sueexa
TO, KG	to kg
RZUBB, KMT	rzubb kmt
FK, KV	fk kv
PKSE, YM	pkse ym
W, IZ	w iz
Y, FF	y ff
I, BK	i bk
L, E	l e
M, HHK	m hhk
BWQH, EJX	bwqh ejx
A, BA	a ba
YZ, EXWXZC	yz exwxzc
B, GDTX	b gdtx
K, ZKUETVN	k zkuetvn
GF, R	gf r
F, FPPKBSOSB	f fppkbsosb
ICNXQV, YSW	icnxqv ysw
FB, SH	fb sh
WD, I	wd i
RQF, WW	rqf ww
DCBO, S	dcbo s
YZZVV, ZZ	yzzvv zz
X, PWO	x pwo
N, VF	n vf
WN, XOX	wn xox
TDOTWXOE, YFUX	tdotwxoe yfux
B, M	b m
SC, J	sc j
EUQIRWA, Y	euqirwa y
DOOOPKCQ, AHOLVNV	dooopkcq aholvnv
MF, VLKAWPA	mf vlkawpa
LBIP, PB	lbip pb
C, JRJ	c jrj
L, GL	l gl
VEB, UZGF	veb uzgf
UM, CZ	um cz
WQ, T	wq t
PG, CV	pg cv
TWRUO, W	twruo w
OMYC, O	omyc o
VPO, BFML	vpo bfml
J, EC	j ec
CVJAKFPQDD, OIZ	cvjakfpqdd oiz
TZM, VR	tzm vr
F, FZ	f fz
Q, YIB	q yib
HE, Z	he z
C, ZR	c zr
Q, RH	q rh
CE, Y	ce y
UB, W	ub w
TH, W	th w
X, A	x a
EHXRHLHY, NMYATE	ehxrhlhy nmyate
X, F	x f
Y, SL	y sl
L, IH	l ih
PGME, AV	pgme av
NGC, IFQ	ngc ifq
I, E	i e
CLWS, B	clws b
Y, S	y s
Q, O	q o
TQ, PC	tq pc
QJP, W	qjp w
M, PIBGE	m pibge
D, HERAX	d herax
N, A	n a
S, LMGGMY	s lmggmy
QX, YB	qx yb
R, T	r t
FC, XI	fc xi
MD, MB	md mb
P, T	p t
VK, KK	vk kk
KAO, OF	kao of
A, IB	a ib
CCLT, BZN	cclt bzn
I, Z	i z
JGFZ, P	jgfz p
HKMXWCE, KK	hkmxwce kk
M, L	m l
T, EL	t el
Q, F	q f
KJNL, NRXJ	kjnl nrxj
F, YUXKRKKDDNH	f yuxkrkkddnh
X, VFIY	x vfiy
NN, WY	nn wy
YE, E	ye e
XQW, W	xqw w
HQ, SF	hq sf
IE, P	ie p
D, TS	d ts
P, GJ	p gj
OSPTKMTSP, KRV	osptkmtsp krv
BU, CRJ	bu crj
YCGX, ATPKG	ycgx atpkg
X, E	x e
XV, UW	xv uw
HPX, C	hpx c
Z, Q	z q
C, CP	c cp
Q, M	q m
Q, IA	q ia
F, SXCCO	f sxcco
QBYXLNZM, REPJI	qbyxlnzm repji
XG, IUC	xg iuc
P, V	p v
MAN, QC	man qc
P, VFAMDH	p vfamdh
V, TOQU	v toqu
D, S	d s
SEBFZBUYR, TTS	sebfzbuyr tts
TGQLH, WX	tgqlh wx
KUK, PXUQFG	kuk pxuqfg
IV, Z	iv z
G, F	g f
GIBL, PPPJ	gibl pppj
FJDZTIJD, EDNWFA	fjdztijd ednwfa
DG, DO	dg do
KKQZZHD, B	kkqzzhd b
ZL, V	zl v
KKKVVO, AE	kkkvvo ae
UNXURQKO, Y	unxurqko y
X, AA	x aa
LE, IGJN	le igjn
Q, ANPTT	q anptt
AM, I	am i
HR, RP	hr rp
HZHPMA, OHAT	hzhpma ohat
O, LYNWX	o lynwx
CD, AEXM	cd aexm
YX, QMC	yx qmc
Y, TXMT	y txmt
YRG, Q	yrg q
VWDU, TFXOXAV	vwdu tfxoxav
NE, GVG	ne gvg
K, QVP	k qvp
KNSG, TV	knsg tv
OBJISMQ, B	objismq b
NWSEU, IZR	nwseu izr
NQAY, DKKHK	nqay dkkhk
TJ, QNUI	tj qnui
I, R	i r
L, T	l t
A, NDHNPXU	a ndhnpxu
UGLGTYXX, FN	uglgtyxx fn
IMCU, D	imcu d
UV, WKL	uv wkl
TJLPCE, H	tjlpce h
G, UUJL	g uujl
D, PSNY	d psny
HT, NIN	ht nin
MMZ, P	mmz p
OOCQ, CS	oocq cs
WP, S	wp s
D, W	d w
GHA, FIAJZ	gha fiajz
T, J	t j
SCET, C	scet c
NZ, T	nz t
NH, EB	nh eb
Y, IP	y ip
CDPZ, DYCVUOC	cdpz dycvuoc
I, HFL	i hfl
DJEG, GP	djeg gp
VQMHY, U	vqmhy u
M, RCR	m rcr
E, L	e l
LLRIG, R	llrig r
E, U	e u
BX, EV	bx ev
ZVG, IZGN	zvg izgn
V, PMXPIQUCKETTFFP	v pmxpiquckettffp
F, NF	f nf
D, CLP	d clp
PN, A	pn a
QDI, PW	qdi pw
BTA, U	bta u
IZ, RQ	iz rq
TQH, XCRCIHQQW	tqh xcrcihqqw
V, M	v m
FX, U	fx u
HMHBB, OS	hmhbb os
AK, CUAABAQ	ak cuaabaq
M, IPVGE	m ipvge
WJQFRCXL, B	wjqfrcxl b
RX, U	rx u
LU, YB	lu yb
C, J	c j
YMMSP, S	ymmsp s
M, RBY	m rby
GJ, XVK	gj xvk
BJ, Z	bj z
CTQ, DOZQNM	ctq dozqnm
F, PW	f pw
XI, VRSR	xi vrsr
W, D	w d
GB, DX	gb dx
D, C	d c
BNGIINTMKB, E	bngiintmkb e
FHQZMHI, V	fhqzmhi v
YAVT, Z	yavt z
T, DQA	t dqa
Q, FX	q fx
QNZW, J	qnzw j
NNG, QHB	nng qhb
FE, MAWU	fe mawu
XLMBJ, T	xlmbj t
ZC, H	zc h
QMJR, QKJ	qmjr qkj
S, Y	s y
I, YTEJSAT	i ytejsat
V, NI	v ni
Z, P	z p
JW, PJ	jw pj
B, APC	b apc
J, D	j d
BRTDJA, CI	brtdja ci
L, V	l v
DQZNVKYOKRG, KN	dqznvkyokrg kn
PGZZV, BZ	pgzzv bz
Z, I	z i
H, Y	h y
U, U	u u
FNWCH, SOFA	fnwch sofa
M, T	m t
UYEEMEA, F	uyeemea f
AN, YFD	an yfd
GH, ME	gh me
Q, U	q u
O, CJULUKRO	o cjulukro
Y, I	y i
U, OIXZTR	u oixztr
P, BKI	p bki
CY, YDDY	cy yddy
WA, GZQLRA	wa gzqlra
ISG, K	isg k
