OHGQ, VWS	ohgq vws
CS, T	cs t
P, LBP	p lbp
L, JTYMIHSJZ	l jtymihsjz
QCFK, HYNZF	qcfk hynzf
CWDJRR, U	cwdjrr u
I, N	i n
GEI, B	gei b
J, U	j u
P, L	p l
VL, A	vl a
W, BWEJZJZ	w bwejzjz
QTZPTG, D	qtzptg d
Z, E	z e
O, D	o d
N, C	n c
F, M	f m
S, N	s n
YA, N	ya n
AQK, GYI	aqk gyi
SU, P	su p
UN, K	un k
X, Y	x y
ZX, EI	zx ei
TN, BD	tn bd
O, UT	o ut
AA, F	aa f
CQP, ZV	cqp zv
J, IXPRUMML	j ixprumml
SI, TB	si tb
WVG, ZW	wvg zw
YAX, T	yax t
U, CJC	u cjc
NOPWHT, GT	nopwht gt
JB, VJX	jb vjx
NFF, NQ	nff nq
V, K	v k
JYFYO, FTJ	jyfyo ftj
KE, H	ke h
I, M	i m
UB, Z	ub z
C, O	c o
GHYFALDX, C	ghyfaldx c
QRBDEWNB, F	qrbdewnb f
M, DDJP	m ddjp
ELF, O	elf o
F, QWGJGN	f qwgjgn
IS, P	is p
QQ, P	qq p
N, QRVV	n qrvv
BRXVGTCY, D	brxvgtcy d
PDHD, QDC	pdhd qdc
N, S	n s
IUV, IQEZTN	iuv iqeztn
E, SAF	e saf
VXSI, CX	vxsi cx
VYQYLP, LJ	vyqylp lj
GALRBXM, AUHSQ	galrbxm auhsq
BY, G	by g
FRT, QFDAEYUO	frt qfdaeyuo
HE, E	he e
RB, VQIJX	rb vqijx
A, UJ	a uj
NVWKLMCXFA, NA	nvwklmcxfa na
INSO, YL	inso yl
Y, WR	y wr
T, XRA	t xra
X, L	x l
BB, LJ	bb lj
NTI, G	nti g
JUQERLXR, U	juqerlxr u
UWL, L	uwl l
DHOG, A	dhog a
U, BH	u bh
O, EZH	o ezh
KL, T	kl t
TN, LJHXVWDUWP	tn ljhxvwduwp
DTB, TDN	dtb tdn
NH, GKQ	nh gkq
B, Q	b q
ZVQVFGH, RSB	zvqvfgh rsb
J, SU	j su
Y, PXAYY	y pxayy
TG, NN	tg nn
FWNCZA, YTX	fwncza ytx
UASG, I	uasg i
N, A	n a
WFI, V	wfi v
GM, G	gm g
WWT, W	wwt w
N, EVO	n evo
VIL, E	vil e
U, LI	u li
WX, NIDC	wx nidc
CF, N	cf n
O, YAMCPJ	o yamcpj
YMD, WZCUH	ymd wzcuh
NIYPYP, IDJE	niypyp idje
DF, B	df b
OGEKQ, L	ogekq l
BH, HIUN	bh hiun
J, S	j s
QI, SRIC	qi sric
U, JG	u jg
W, K	w k
SGQQJY, E	sgqqjy e
MZ, FQO	mz fqo
KAV, T	kav t
Q, IZ	q iz
Y, WBNVF	y wbnvf
QQEGY, T	qqegy t
HLR, LSWSKTU	hlr lswsktu
QTU, J	qtu j
PZ, AC	pz ac
RDH, AMC	rdh amc
WX, RTMKIYRL	wx rtmkiyrl
M, MNQ	m mnq
QL, C	ql c
BDSI, OK	bdsi ok
AOFN, RF	aofn rf
IU, W	iu w
J, LHZ	j lhz
IZ, F	iz f
W, ZT	w zt
ONFDT, OSF	onfdt osf
G, CNAP	g cnap
I, FL	i fl
QY, B	qy b
HC, KDTF	hc kdtf
MC, DEYB	mc deyb
RIPRBLQWX, Q	riprblqwx q
VO, Y	vo y
GC, EV	gc ev
WVF, UNWEBO	wvf unwebo
M, VO	m vo
F, YAVAV	f yavav
QT, UY	qt uy
QS, L	qs l
H, ROXP	h roxp
B, E	b e
P, OE	p oe
R, QJT	r qjt
D, F	d f
C, INK	c ink
Q, UHGZOC	q uhgzoc
F, MMMC	f mmmc
DNM, SJHZB	dnm sjhzb
ITUK, PWXT	ituk pwxt
SI, CFFJ	si cffj
NC, I	nc i
R, RE	r re
PR, Q	pr q
P, Q	p q
B, GC	b gc
IFABSPQG, X	ifabspqg x
HI, EHRAOE	hi ehraoe
LXO, MW	lxo mw
VYTXDOFG, V	vytxdofg v
JG, TEXM	jg texm
VV, SS	vv ss
COP, B	cop b
Y, MRODZYF	y mrodzyf
I, U	i u
ZF, Z	zf z
STL, NXYS	stl nxys
E, Z	e z
FJ, E	fj e
OTDTIW, FV	otdtiw fv
GMHCRU, S	gmhcru s
J, FVTAEU	j fvtaeu
U, ZZX	u zzx
FEGZV, BW	fegzv bw
CAA, Z	caa z
K, YF	k yf
O, NEMHYR	o nemhyr
E, V	e v
B, XRE	b xre
OUB, M	oub m
WZ, E	wz e
LFP, G	lfp g
MPW, BKE	mpw bke
HLW, WXZ	hlw wxz
ZN, XK	zn xk
H, EUTE	h eute
V, QL	v ql
G, NGN	g ngn
CRDNSQ, LX	crdnsq lx
H, S	h s
LNQYEWJY, KD	lnqyewjy kd
X, B	x b
I, P	i p
F, KVQ	f kvq
IY, Q	iy q
JJ, OPRCV	jj oprcv
ZCY, QXUYFK	zcy qxuyfk
KFJ, M	kfj m
V, R	v r
WZ, KXDVUIXYZESBG	wz kxdvuixyzesbg
DM, S	dm s
IGEAG, X	igeag x
H, D	h d
K, K	k k
LE, EH	le eh
WY, AG	wy ag
D, OBEB	d obeb
W, B	w b
WPQ, MRHB	wpq mrhb
GTC, K	gtc k
FTW, TUP	ftw tup
AGJ, FS	agj fs
XAPS, YNQPS	xaps ynqps
F, KK	f kk
FL, B	fl b
JK, GIDO	jk gido
J, NQUTE	j nqute
ZUPI, DF	zupi df
WC, WPI	wc wpi
R, VWR	r vwr
UN, UWZ	un uwz
J, E	j e
S, F	s f
D, Z	d z
U, RP	u rp
U, CLVODG	u clvodg
GPI, FGRP	gpi fgrp
PEX, RVQ	pex rvq
O, UNQ	o unq
NXVT, O	nxvt o
L, IJ	l ij
K, X	k x
FVHGMR, E	fvhgmr e
FMHU, XG	fmhu xg
K, J	k j
Q, K	q k
II, ZPOX	ii zpox
B, JM	b jm
NAWB, N	nawb n
C, P	c p
H, VI	h vi
L, F	l f
I, P	i p
M, VNMDV	m vnmdv
FU, TGC	fu tgc
PJ, ZREN	pj zren
SZ, A	sz a
TO, IWJADIQ	to iwjadiq
G, GSOPF	g gsopf
FYG, D	fyg d
FU, I	fu i
J, TG	j tg
ZGA, I	zga i
Y, LW	y lw
J, KT	j kt
G, M	g m
CY, R	cy r
M, N	m n
KVS, D	kvs d
NAVF, L	navf l
UGXFIOMYM, VE	ugxfiomym ve
R, YZTGTE	r yztgte
YYJL, LUDGQWP	yyjl ludgqwp
RY, X	ry x
Q, SLLUA	q sllua
BLF, DEE	blf dee
XNMU, KVOO	xnmu kvoo
IZYJMIMR, WNSQ	izyjmimr wnsq
H, E	h e
W, EXGUUYE	w exguuye
NN, N	nn n
B, B	b b
LKLTU, H	lkltu h
CVGA, LU	cvga lu
C, H	c h
IF, U	if u
BLL, SCHNE	bll schne
IS, DK	is dk
ZQX, AT	zqx at
FCJX, RJRV	fcjx rjrv
B, GSFU	b gsfu
G, HYT	g hyt
C, VW	c vw
RZVRQ, AXH	rzvrq axh
FZFI, MLNBSCA	fzfi mlnbsca
PZD, R	pzd r
X, HQ	x hq
MA, A	ma a
G, JRMWCYMA	g jrmwcyma
TDJDV, YE	tdjdv ye
EE, CPJV	ee cpjv
GYGHUVE, F	gyghuve f
ZLEV, DB	zlev db
XDPT, RC	xdpt rc
B, J	b j
AEX, ANI	aex ani
VIPE, EW	vipe ew
CC, WF	cc wf
KZ, SN	kz sn
HM, XL	hm xl
CC, GC	cc gc
TSRB, HZ	tsrb hz
X, ABOS	x abos
WWOUCBVM, PFT	wwoucbvm pft
X, ZJX	x zjx
H, H	h h
TMTN, Z	tmtn z
BK, JZG	bk jzg
L, UHT	l uht
EITWN, UNLRYQ	eitwn unlryq
ATPD, CJ	atpd cj
AB, U	ab u
YVKXT, NZ	yvkxt nz
EEU, SVFU	eeu svfu
ZD, L	zd l
M, GDHX	m gdhx
XZZYT, YR	xzzyt yr
Z, CVTNYI	z cvtnyi
F, LI	f li
YDYAMS, R	ydyams r
P, QJEQP	p qjeqp
RU, I	ru i
DN, Z	dn z
DN, H	dn h
U, A	u a
QUR, MEPRAQK	qur mepraqk
D, RQ	d rq
HH, KS	hh ks
OQLS, AJF	oqls ajf
FP, CRXR	fp crxr
XP, VMO	xp vmo
YA, QM	ya qm
X, XG	x xg
GDSB, ZXYBZBM	gdsb zxybzbm
N, AWAN	n awan
WE, SDOB	we sdob
OA, URQVD	oa urqvd
Z, CJ	z cj
QIRNPE, LCEAJH	qirnpe lceajh
IU, I	iu i
JEBRPB, YZ	jebrpb yz
PT, BO	pt bo
E, MQOPZ	e mqopz
N, V	n v
F, R	f r
MI, YDVXTCX	mi ydvxtcx
NT, WYSR	nt wysr
NV, U	nv u
OW, AHIN	ow ahin
V, N	v n
PO, MP	po mp
P, ZP	p zp
W, RKY	w rky
O, DPM	o dpm
H, JMLPH	h jmlph
OYH, HQ	oyh hq
ML, MFINJPSEZE	ml mfinjpseze
HOW, I	how i
A, GH	a gh
RU, NY	ru ny
V, OW	v ow
TLQCHSDBFBV, QLQR	tlqchsdbfbv qlqr
K, UOZ	k uoz
TH, Q	th q
U, N	u n
IG, MEAX	ig meax
Y, HJ	y hj
E, W	e w
X, QNQ	x qnq
VS, FRWQ	vs frwq
NN, T	nn t
M, D	m d
JOL, B	jol b
K, TQK	k tqk
FS, V	fs v
YCZ, XXB	ycz xxb
C, QV	c qv
BZNT, ASP	bznt asp
KRGE, ZANFPSVKXE	krge zanfpsvkxe
XTHHF, YA	xthhf ya
UQ, VAXBSFJ	uq vaxbsfj
P, O	p o
QAMA, HZ	qama hz
KZ, P	kz p
A, A	a a
AFL, P	afl p
R, V	r v
T, F	t f
Y, QQF	y qqf
W, TJY	w tjy
B, F	b f
BX, BIDJV	bx bidjv
SC, L	sc l
B, H	b h
W, YVD	w yvd
A, EPG	a epg
N, K	n k
OD, FF	od ff
ZL, WFGADM	zl wfgadm
ND, HO	nd ho
R, E	r e
PODECH, PX	podech px
G, BV	g bv
X, TQ	x tq
YF, IB	yf ib
C, KCGH	c kcgh
P, NZIGXB	p nzigxb
F, EH	f eh
V, FF	v ff
TSI, XNM	tsi xnm
VXAZW, WNS	vxazw wns
A, BSZF	a bszf
J, PE	j pe
AR, RJG	ar rjg
LMXB, A	lmxb a
Y, Y	y y
UIP, R	uip r
FO, C	fo c
LRB, CLEQR	lrb cleqr
AQIUEZCG, EQV	aqiuezcg eqv
WGXHJ, RA	wgxhj ra
A, RCYADR	a rcyadr
GFOUFG, MZBL	gfoufg mzbl
F, Z	f z
HP, XKM	hp xkm
DTNN, R	dtnn r
VVPOR, DC	vvpor dc
EG, VBJFRRUQF	eg vbjfrruqf
T, O	t o
GACMO, UZGW	gacmo uzgw
P, L	p l
LZVEE, E	lzvee e
I, YCERYYT	i yceryyt
M, RW	m rw
VH, SRSBCODOWJXU	vh srsbcodowjxu
E, W	e w
VFKJ, V	vfkj v
UL, KLJE	ul klje
Z, HM	z hm
N, MY	n my
SN, UO	sn uo
LZ, UJXWC	lz ujxwc
ZFWWH, QM	zfwwh qm
S, L	s l
ZY, KH	zy kh
AX, J	ax j
E, P	e p
H, ZCTLHV	h zctlhv
YNUV, OTI	ynuv oti
EX, C	ex c
IJ, Z	ij z
AH, YA	ah ya
D, Z	d z
M, J	m j
M, VNJ	m vnj
MT, V	mt v
MK, L	mk l
T, HQB	t hqb
F, O	f o
PSWLV, UY	pswlv uy
TA, DC	ta dc
KYHCT, QVX	kyhct qvx
K, T	k t
FWH, WVM	fwh wvm
P, LYLFCE	p lylfce
IHO, ZQLA	iho zqla
SI, V	si v
WZ, OO	wz oo
MJ, A	mj a
L, GM	l gm
M, PI	m pi
QEEOKDA, EUP	qeeokda eup
YUV, FMZ	yuv fmz
SKF, U	skf u
THQN, QT	thqn qt
USRG, AOHLPQTE	usrg aohlpqte
ZY, ZEX	zy zex
ZVYH, J	zvyh j
W, MLL	w mll
BL, CYMXSC	bl cymxsc
R, B	r b
ZM, CA	zm ca
FLG, UJ	flg uj
UGB, O	ugb o
UMS, XKU	ums xku
PLKMTL, DM	plkmtl dm
SG, S	sg s
AYYP, C	ayyp c
DB, N	db n
NY, L	ny l
QNK, Z	qnk z
M, E	m e
BN, Y	bn y
NL, GA	nl ga
CW, VTII	cw vtii
BCA, H	bca h
I, L	i l
TX, SU	tx su
X, EZ	x ez
K, A	k a
V, BS	v bs
FMWTF, D	fmwtf d
IU, N	iu n
A, BJ	a bj
H, C	h c
BL, XDLQEG	bl xdlqeg
Y, PXM	y pxm
DC, RP	dc rp
UD, AICXNVALK	ud aicxnvalk
CZFY, EAGW	czfy eagw
STIBXUXN, Z	stibxuxn z
B, NZ	b nz
WX, MR	wx mr
D, MZ	d mz
GKQMRB, D	gkqmrb d
H, LPY	h lpy
AE, OV	ae ov
I, E	i e
EZS, S	ezs s
J, B	j b
QNCD, NK	qncd nk
TY, C	ty c
D, PPR	d ppr
G, Y	g y
PXD, OL	pxd ol
C, A	c a
FCM, L	fcm l
I, G	i g
AZVI, ONXBH	azvi onxbh
O, IBHC	o ibhc
ODL, RRYLHFQ	odl rrylhfq
II, SBD	ii sbd
BWDV, UGBRC	bwdv ugbrc
GG, QYKZGV	gg qykzgv
K, A	k a
EAV, LS	eav ls
CW, O	cw o
XUF, O	xuf o
KD, C	kd c
FMQE, GWNZZW	fmqe gwnzzw
CK, H	ck h
FF, NN	ff nn
L, F	l f
A, X	a x
LO, AM	lo am
W, Z	w z
Z, YV	z yv
KG, ULL	kg ull
H, EZNGZXTM	h ezngzxtm
MECO, VN	meco vn
MNXP, XS	mnxp xs
L, CCO	l cco
JYNZS, AZG	jynzs azg
CDGT, QM	cdgt qm
AN, Q	an q
IFRUSVA, BW	ifrusva bw
X, ZC	x zc
B, PY	b py
QUM, FDVHH	qum fdvhh
RNPXLJMJY, NEXC	rnpxljmjy nexc
M, P	m p
KMH, BAQ	kmh baq
UBTO, DD	ubto dd
I, I	i i
Y, B	y b
M, KEIF	m keif
T, HLQ	t hlq
ULZCQGDCX, FZK	ulzcqgdcx fzk
U, N	u n
TR, RNMVRQEH	tr rnmvrqeh
QI, BH	qi bh
SZ, I	sz i
O, GFJVR	o gfjvr
B, O	b o
PLS, H	pls h
LVY, PDH	lvy pdh
J, LEBPN	j lebpn
DP, DQ	dp dq
U, SAPTI	u sapti
S, RO	s ro
ER, FBWY	er fbwy
DU, Z	du z
QY, B	qy b
U, HE	u he
F, SDS	f sds
VMHOA, W	vmhoa w
YVE, AV	yve av
QJ, N	qj n
X, QBRE	x qbre
H, W	h w
S, UVU	s uvu
A, DS	a ds
CHU, HOF	chu hof
P, OMGKVNGNK	p omgkvngnk
DOLX, G	dolx g
ZMM, IO	zmm io
J, MMXY	j mmxy
ABMWS, K	abmws k
OM, DKT	om dkt
H, K	h k
RRGZC, EWI	rrgzc ewi
B, XWAY	b xway
U, MSS	u mss
D, Q	d q
A, F	a f
XOL, UP	xol up
LSOTQN, P	lsotqn p
A, T	a t
PKZTQHXLM, S	pkztqhxlm s
KEBK, J	kebk j
NE, NJY	ne njy
OQQXL, D	oqqxl d
O, WYCYVK	o wycyvk
T, N	t n
KP, NKE	kp nke
CB, U	cb u
N, D	n d
VMG, NBJP	vmg nbjp
HH, G	hh g
Y, FA	y fa
PL, L	pl l
K, E	k e
LJ, U	lj u
J, QBXAB	j qbxab
LRO, KL	lro kl
M, PJCX	m pjcx
XFV, GXQED	xfv gxqed
KSIBHBPFNA, G	ksibhbpfna g
F, N	f n
UY, JIX	uy jix
UIBX, ZCY	uibx zcy
UIEG, I	uieg i
YQ, SRLJ	yq srlj
YO, Y	yo y
AF, RD	af rd
R, C	r c
NOYM, FNOA	noym fnoa
ZGJ, IBVP	zgj ibvp
W, AVAZ	w avaz
NZ, O	nz o
V, UHRHLK	v uhrhlk
C, XQ	c xq
DNTYK, SVW	dntyk svw
MAIX, R	maix r
AJ, GYCPXJMA	aj gycpxjma
TW, DLEZY	tw dlezy
B, RZ	b rz
T, FP	t fp
XR, LI	xr li
EM, K	em k
W, RLQTI	w rlqti
X, DTIUYBCHO	x dtiuybcho
O, AWC	o awc
BG, Q	bg q
VFG, G	vfg g
N, OR	n or
YH, U	yh u
CABMB, CC	cabmb cc
JI, H	ji h
VBV, J	vbv j
C, TV	c tv
CB, GV	cb gv
NMZ, D	nmz d
IEX, G	iex g
JRC, KN	jrc kn
RE, FRB	re frb
CKO, IDL	cko idl
VZ, UK	vz uk
IIU, CEJKTN	iiu cejktn
PDWD, A	pdwd a
B, YAW	b yaw
ECBXMXU, L	ecbxmxu l
TT, KZZVC	tt kzzvc
MNK, ON	mnk on
UZMEK, H	uzmek h
AKD, PQ	akd pq
B, K	b k
NIT, PP	nit pp
IZH, LTE	izh lte
WWJI, DRQ	wwji drq
V, OYAL	v oyal
LOPXTNPJ, L	lopxtnpj l
RW, O	rw o
TLVCWH, CMZ	tlvcwh cmz
B, EN	b en
L, OSN	l osn
VBRG, QJ	vbrg qj
H, MTO	h mto
ME, L	me l
I, UQB	i uqb
OZ, KL	oz kl
OFKA, TGK	ofka tgk
KJAFU, W	kjafu w
VVH, COVW	vvh covw
AXSQK, P	axsqk p
GRSPI, PWAUWCDL	grspi pwauwcdl
YMD, XKB	ymd xkb
ZCASQGTWCUJQVTJ, GXZM	zcasqgtwcujqvtj gxzm
VTA, OYG	vta oyg
KGWUTS, MP	kgwuts mp
L, W	l w
YVC, F	yvc f
LRN, V	lrn v
XGV, WQ	xgv wq
B, A	b a
CVU, IN	cvu in
OEA, E	oea e
T, HDUD	t hdud
O, U	o u
U, H	u h
KFKWM, Z	kfkwm z
XB, RZ	xb rz
DN, F	dn f
WOR, JYD	wor jyd
W, PVJ	w pvj
DXJ, M	dxj m
I, O	i o
HDYY, F	hdyy f
C, V	c v
YG, YA	yg ya
LUQ, O	luq o
Q, RV	q rv
OI, SCY	oi scy
Y, IW	y iw
UKO, ES	uko es
MIUQIIOAKZBXZJNO, F	miuqiioakzbxzjno f
FDGU, XU	fdgu xu
V, P	v p
M, X	m x
P, EBZ	p ebz
FOFZHF, MB	fofzhf mb
UCDNL, I	ucdnl i
LQ, M	lq m
YZJF, TJ	yzjf tj
S, QG	s qg
DN, P	dn p
QRQFEMNOG, J	qrqfemnog j
QU, RHY	qu rhy
IBN, F	ibn f
BZD, WF	bzd wf
KE, ID	ke id
Z, Z	z z
HWRRMA, EQQ	hwrrma eqq
U, HHRGWQ	u hhrgwq
HV, N	hv n
RU, JV	ru jv
VH, Q	vh q
DUSOO, D	dusoo d
UZAKH, UKG	uzakh ukg
BI, JAMOJP	bi jamojp
X, H	x h
LGCGRA, OAFH	lgcgra oafh
ZW, HO	zw ho
L, Y	l y
S, KNYEO	s knyeo
YWHX, V	ywhx v
IU, A	iu a
IHK, QM	ihk qm
RK, T	rk t
NJ, D	nj d
NECTJ, L	nectj l
CI, FPL	ci fpl
A, M	a m
DD, E	dd e
S, C	s c
U, X	u x
WBEB, T	wbeb t
U, NV	u nv
ZU, VD	zu vd
R, WUNX	r wunx
I, I	i i
PCG, RXGKGPL	pcg rxgkgpl
WKWEG, KG	wkweg kg
EC, K	ec k
KRMOO, UVF	krmoo uvf
ES, URUO	es uruo
PR, QP	pr qp
W, G	w g
EF, GZC	ef gzc
L, ZR	l zr
ELTXSJMGW, WJDZP	eltxsjmgw wjdzp
U, B	u b
WI, MY	wi my
RYPCPK, K	rypcpk k
R, XVASEW	r xvasew
UC, WWGRI	uc wwgri
CP, UMG	cp umg
L, MF	l mf
LDI, M	ldi m
TZOOG, ZDM	tzoog zdm
MQXTBK, SSHQNBRBH	mqxtbk sshqnbrbh
NYLNT, UAYV	nylnt uayv
B, IEJ	b iej
UMEW, R	umew r
T, KWD	t kwd
DGW, L	dgw l
VCNU, WFVC	vcnu wfvc
MJ, TNK	mj tnk
I, YRMC	i yrmc
JYBF, YKIG	jybf ykig
N, NP	n np
HMI, IYVI	hmi iyvi
Z, YQVLT	z yqvlt
OW, VBCC	ow vbcc
S, XN	s xn
W, O	w o
U, J	u j
Z, VKE	z vke
KJWY, JKJUR	kjwy jkjur
EX, DMNS	ex dmns
G, OZPIDYI	g ozpidyi
IFSNUZ, AOFGC	ifsnuz aofgc
C, U	c u
V, EVZ	v evz
E, KTVP	e ktvp
NU, LG	nu lg
SH, ZP	sh zp
VDIFXDJQPID, CKJP	vdifxdjqpid ckjp
W, AMO	w amo
SN, Z	sn z
ZT, MI	zt mi
P, H	p h
C, F	c f
MTXIISKQ, NBJ	mtxiiskq nbj
SB, P	sb p
F, U	f u
UE, QWNJ	ue qwnj
W, X	w x
R, LD	r ld
MEIHQON, G	meihqon g
K, QW	k qw
JJCNLDUFFR, TX	jjcnlduffr tx
OC, FLA	oc fla
VBR, WZ	vbr wz
MYVHGWX, KA	myvhgwx ka
F, NLI	f nli
Y, LSVYISI	y lsvyisi
ALGU, HG	algu hg
EUZ, ATE	euz ate
M, UIN	m uin
JM, O	jm o
P, D	p d
FGRPW, Q	fgrpw q
J, EH	j eh
QYYJM, ZV	qyyjm zv
ZR, Q	zr q
Y, K	y k
KNRTLISZ, SJXCE	knrtlisz sjxce
YHN, GX	yhn gx
J, L	j l
X, F	x f
D, V	d v
Z, D	z d
R, EX	r ex
G, CFQ	g cfq
MT, N	mt n
U, NNPJSTAMUZH	u nnpjstamuzh
TP, AIJNT	tp aijnt
BL, O	bl o
DV, F	dv f
IC, R	ic r
Z, VXTVU	z vxtvu
K, HF	k hf
ZAJRGEG, K	zajrgeg k
VP, OX	vp ox
TJ, O	tj o
DSZ, EIE	dsz eie
XM, USF	xm usf
BC, N	bc n
NHWGFTO, KX	nhwgfto kx
PQJ, PZ	pqj pz
C, ACKE	c acke
STHUT, Y	sthut y
JLW, L	jlw l
JVO, LNWG	jvo lnwg
J, XH	j xh
HJUJ, BDFS	hjuj bdfs
V, CUHUJS	v cuhujs
U, J	u j
VVWU, AEQ	vvwu aeq
CKNYEBVDY, TP	cknyebvdy tp
RC, DUKIW	rc dukiw
NQ, KKFH	nq kkfh
S, KRAKS	s kraks
Q, CFJ	q cfj
XD, U	xd u
N, KAU	n kau
T, X	t x
ZWA, Q	zwa q
QY, TM	qy tm
LE, K	le k
CW, I	cw i
HJFVTBMFTRR, V	hjfvtbmftrr v
UTLHM, O	utlhm o
SFJDE, B	sfjde b
SP, V	sp v
T, E	t e
WKPGM, V	wkpgm v
N, V	n v
UAJUQ, X	uajuq x
OYK, O	oyk o
FC, GDA	fc gda
BS, CR	bs cr
ZH, SZ	zh sz
CN, OTVE	cn otve
F, VR	f vr
XDOGPBU, WBQ	xdogpbu wbq
LH, B	lh b
XOI, WEMRMF	xoi wemrmf
AMHAWQ, IKQHH	amhawq ikqhh
NOPNMVBKKO, KLJAQ	nopnmvbkko kljaq
PK, M	pk m
M, H	m h
D, V	d v
NB, I	nb i
MC, JS	mc js
M, GJ	m gj
VLIG, CO	vlig co
BZOMO, C	bzomo c
ZJG, XU	zjg xu
A, XOGKHRC	a xogkhrc
Q, EE	q ee
Y, E	y e
UWMLG, ONPXS	uwmlg onpxs
B, ZD	b zd
FCWU, FUDFJYP	fcwu fudfjyp
LC, MZODUF	lc mzoduf
BQ, R	bq r
CVHES, PU	cvhes pu
ZX, AWSLRR	zx awslrr
BF, L	bf l
A, CMGS	a cmgs
E, Y	e y
ORO, OX	oro ox
C, L	c l
XICIS, W	xicis w
SMCZ, F	smcz f
HEC, M	hec m
BB, Q	bb q
O, O	o o
C, V	c v
T, B	t b
DAWWRP, HAC	dawwrp hac
IORPRR, PN	iorprr pn
GC, SB	gc sb
W, B	w b
XD, ORXFSZ	xd orxfsz
RLO, YGB	rlo ygb
T, Z	t z
QDBM, QXN	qdbm qxn
JMMO, LBETUB	jmmo lbetub
Y, A	y a
HUY, O	huy o
ZRSZ, O	zrsz o
NJ, YF	nj yf
LY, W	ly w
LGHRFS, CJ	lghrfs cj
MCXAC, MGBKB	mcxac mgbkb
BDU, NUQXC	bdu nuqxc
WQNF, KGFJ	wqnf kgfj
HV, UD	hv ud
K, X	k x
LNRLI, UNIUA	lnrli uniua
PN, EJOZ	pn ejoz
WWD, CKQ	wwd ckq
RX, BW	rx bw
V, L	v l
YZW, H	yzw h
V, RGZ	v rgz
HF, R	hf r
P, M	p m
P, B	p b
R, JWUFAE	r jwufae
T, PV	t pv
LF, GX	lf gx
I, UUE	i uue
OTJQ, X	otjq x
EMP, XXW	emp xxw
Z, I	z i
WVPKD, XC	wvpkd xc
JAEFWP, YHHUMWN	jaefwp yhhumwn
YV, E	yv e
CSZYF, VAR	cszyf var
X, N	x n
WXRU, H	wxru h
A, G	a g
NTUQ, K	ntuq k
AV, PS	av ps
S, MGH	s mgh
GNN, RBBSA	gnn rbbsa
W, UJH	w ujh
QY, UAQ	qy uaq
GU, W	gu w
Y, KKESP	y kkesp
ENYLP, DUSBUPX	enylp dusbupx
J, A	j a
NJDU, VY	njdu vy
EI, DJ	ei dj
IN, RM	in rm
FUOXDHQDO, UM	fuoxdhqdo um
RDYTE, OK	rdyte ok
NA, EC	na ec
LMDQX, V	lmdqx v
G, OA	g oa
XX, J	xx j
T, KM	t km
PFO, PEV	pfo pev
I, E	i e
YE, OLROO	ye olroo
AKMHJ, AHJADMNLNFZ	akmhj ahjadmnlnfz
XQXRT, C	xqxrt c
TVE, EZM	tve ezm
WE, K	we k
W, GUNIBNA	w gunibna
XSLHD, Z	xslhd z
X, GGY	x ggy
AT, PSNF	at psnf
FJX, SXU	fjx sxu
SZ, LZMJCG	sz lzmjcg
RQTLL, SSIXHKV	rqtll ssixhkv
LEAI, JPU	leai jpu
W, J	w j
V, HA	v ha
K, WHDDW	k whddw
X, HMC	x hmc
YH, YP	yh yp
YM, B	ym b
Y, L	y l
UEBMC, B	uebmc b
T, L	t l
J, DJHCP	j djhcp
O, EL	o el
INFJ, Y	infj y
M, CVN	m cvn
EN, T	en t
N, T	n t
O, C	o c
M, K	m k
ZQ, AO	zq ao
KICW, HTPK	kicw htpk
G, TC	g tc
Y, AFJ	y afj
A, IF	a if
SCXCEKFV, B	scxcekfv b
ZD, C	zd c
V, P	v p
P, Q	p q
UXQXO, CK	uxqxo ck
NHP, ED	nhp ed
L, SIAFSI	l siafsi
EX, AJK	ex ajk
B, M	b m
ZB, RG	zb rg
G, UA	g ua
UBIUR, R	ubiur r
DD, QS	dd qs
O, NDJG	o ndjg
QP, GRNCVTJU	qp grncvtju
SV, Z	sv z
PTK, Q	ptk q
X, SI	x si
TB, XC	tb xc
P, GIS	p gis
V, K	v k
V, ZL	v zl
IWCX, ANGUTGUGZEN	iwcx angutgugzen
W, H	w h
RI, Z	ri z
H, X	h x
P, W	p w
VF, E	vf e
K, C	k c
OPNHMKSBB, AAHEFQLFVJQ	opnhmksbb aahefqlfvjq
E, EW	e ew
IXEC, QT	ixec qt
CMRG, X	cmrg x
AA, GUY	aa guy
GQ, K	gq k
MMF, YJRA	mmf yjra
K, C	k c
H, UGCQ	h ugcq
LUR, MZI	lur mzi
H, QCCAJ	h qccaj
XRS, H	xrs h
L, KC	l kc
H, C	h c
UJ, WQ	uj wq
CNJX, TJ	cnjx tj
XLKN, G	xlkn g
KC, HYFLH	kc hyflh
QIGIGVC, H	qigigvc h
AYA, P	aya p
D, XWWEZKF	d xwwezkf
B, TU	b tu
GL, COW	gl cow
GKGL, AYYMI	gkgl ayymi
AT, ZZ	at zz
J, UYPJY	j uypjy
N, N	n n
VSEI, AEGR	vsei aegr
M, SK	m sk
M, D	m d
K, M	k m
T, XG	t xg
CXLP, R	cxlp r
VIZGO, ATL	vizgo atl
D, G	d g
S, ZQFNZ	s zqfnz
XIS, KKZK	xis kkzk
LD, QDZZU	ld qdzzu
FQG, OFYSV	fqg ofysv
FDLFN, W	fdlfn w
DN, L	dn l
P, CNSKEE	p cnskee
